Category,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
General public services,5.33,5.34,5.09,5.01,5.02,4.67,4.55
Defence,6.61,6.36,5.74,5.06,6.14,6.21,6.53
Public order and safety,1.12,1.18,1.10,1.02,1.07,1.15,1.15
Education,7.20,7.14,6.89,6.46,6.94,7.11,7.10
Health,16.55,16.53,15.04,14.34,17.04,16.70,15.54
Social security and welfare,34.69,35.45,33.90,34.18,35.54,35.11,36.51
Housing and community amenities,1.16,1.08,0.92,1.05,1.13,1.11,1.15
Recreation and culture,0.81,0.82,0.69,0.67,0.69,0.75,0.73
Fuel and energy,1.60,1.63,1.36,1.38,1.51,1.39,1.92
Agriculture forestry and fishing,0.64,0.65,0.45,0.61,0.51,0.73,0.59
Mining manufacturing and construction,0.64,0.53,0.49,0.67,0.61,0.76,0.86
Transport and communication,1.97,1.66,1.27,2.10,1.85,2.09,2.16
Other economic affairs,2.18,2.11,11.32,12.71,3.50,2.32,2.03
Other purposes,19.50,19.51,15.74,14.75,18.46,19.90,19.16